Question,Answer,chatGPT_answer,Local_LLAMA_answer,chat_gpt_time,local_llama_time
Am I eligible to obtain a BuzzCard (student ID) if I am an OMSCS student?,"Yes, this is possible for online students. Please visit this webpage for more information regarding this process.
Students also can obtain their BuzzCard in person when visiting Georgia Tech's campus. For more information,
including the location of the Georgia Tech BuzzCard office, please visit their website.",,"Yes, you are eligible to obtain a BuzzCard (student ID) if you are an OMSCS student. Please visit this webpage for more information regarding this process. Students also can obtain their BuzzCard in person when visiting Georgia Tech's campus.",0.0,1.27
"What is my nine-digit gtID number (90XXXXXXX) used for, and where can I find it?","This nine-digit number was included in your admission letter. You also can visit this webpage for assistance. You
will need to include this nine-digit number every time you contact our office so that we can access your student
record, but please be sure to replace the first two digits with “xx” for security purposes. Your gtID number should
generally only be shared with your advisors and instructors, as well as other relevant Georgia Tech offices (such
as the Registrar’s Office, the Office of Graduate Education, etc.). Otherwise, it is meant to be private.",,"Your nine-digit gtID number (90XXXXXXX) is used to access your student record, and you can find it in your admission letter or by visiting the provided webpage. It should be shared with advisors, instructors, and relevant Georgia Tech offices only, while replacing the first two digits with ""xx"" for security purposes. You need to include this number every time you contact our office.",0.0,1.82
"What if I have a personal or family emergency and need an extension on an assignment or exam, or I need to withdraw from a class or from school after the deadline due to an extenuating circumstance?","
The worst thing you can do is not tell anyone! Your first point of contact should be your TA and/or professor if
something has come up with work, family, etc. If your TA and/or professor would like you to go through the Dean
of Students office, their website is: https://studentlife.gatech.edu/. Specifically, we encourage you to visit
https://studentlife.gatech.edu/request-assistance.",,"If you have a personal or family emergency and need an extension on an assignment or exam, or need to withdraw from a class or school after the deadline due to an extenuating circumstance, please consult your class' syllabus for directions. Alternatively, contact the Dean of Students office using the Request Assistance form available on their website. You may also be eligible for an approved Leave of Absence.",0.0,1.81
What mental health resources are available to me as an online graduate student at Georgia Tech?,"Your mental health is important, and we want all OMSCS students to access local resources wherever they live,
as well as utilize the online information available to the full GT community. The Georgia Tech Dean of Students
Click here to return to Table of Contents
10


Office can assist with academic and other concerns. A source for excellent online mental health and well-being
information can be found at https://gtwellnesshub.com/.
Additionally, please note the following resources:
●
JED Foundation
●
Trevor Lifeline (supports LGBTQIA youth): 866-488-7386
●
Crisis Chat Line (a 24/7 text-based crisis service)
●
National Suicide Prevention Lifeline: 988
●
GT students can access self-help resources, including apps and podcasts, online. Please note that
students must have a valid @gatech.edu email address.",,"As an online graduate student at Georgia Tech, you have access to several mental health resources. The Georgia Tech Dean of Students Office can assist with academic and other concerns, while the GT Wellness Hub provides excellent online information on mental health and well-being. Additionally, there are crisis hotlines available, including the Trevor Lifeline, Crisis Chat Line, National Suicide Prevention Lifeline, and more.",0.0,1.84
I am interested in becoming a TA. Is this possible?,"Each semester, an email is sent to the omscs-official@cc.gatech.edu account notifying students of how to apply to
become a TA for a future semester. Please be sure to monitor your email for this information.",,"This is complicated than taking courses after graduating. You would need to be hired as a part-time instructor, which takes more time and requires consent to a background check, so you should be absolutely sure you really want to continue being a TA before applying.",0.0,1.33
What if I have an issue with/complaint about an assignment/exam or my instructor/TA?,"Unfortunately, OMSCS Advising cannot get involved in the classroom management of OMSCS courses. If you
need to request an extension due to health, family, or other unforeseen issues, please consult your class’ syllabus
for directions and/or contact the Dean of Students office using the Request Assistance form, available on their
website.
If you have a dispute with your grade, you should first contact your instructor. As per the academic catalog, any
final grade dispute must be resolved by the end of your next enrolled term. Any student with a grade dispute that
cannot be resolved after contacting the instructor should open a ticket at oms-advising@cc.gatech.edu with the
subject line ""Grade Dispute – Your Name"". Please send this message from your GT email account and attach
any correspondence with the instructor that you have had regarding the issue when you open that ticket.
If you would like to share feedback about a class that is not specifically related to your grade, please contact the
Associate Director for Student Experience, Alex Duncan (alex.duncan@gatech.edu).",,"If you have an issue with a complaint about an assignment, exam, or your instructor/TA, you should first contact your instructor. If you are unable to resolve the issue through direct communication, you can reach out to oms-advise@cc.gatech.edu.",0.0,1.3
What if I have an issue with/complaint against a fellow student in the program?,"Student behavior while enrolled in the OMSCS program is governed by the Georgia Tech Student Code of
Conduct. This policy applies to all official interaction on program platforms and also to a certain extent where
students interact with each other in program-oriented communities that are not officially administered by the
Institute. If you believe a violation of the Student Code of Conduct has occurred, you may seek assistance from
the Dean of Students office by clicking “Request Assistance” on their website.",,"If you have an issue with or complaint against a fellow student in the program, I recommend contacting omscs-official@cc.gatech.edu for guidance on how to address the situation.",0.0,1.03
What are the technical requirements for the OMSCS program?,"Please visit this webpage to learn more about the minimum technical requirements for the OMSCS program.
Please note that individual courses may have additional requirements, but the ones listed on the webpage are
common across all OMSCS courses. Also, please note that courses with proctored exams may require you to
use Google Chrome to take the exam.",,"Please visit this webpage to learn more about the minimum technical requirements for the OMSCS program. Courses with proctored exams may require using Google Chrome to take the exam. Individual courses may have additional requirements, which are common across all OMSCS courses.",0.0,1.26
Will my accounts be disabled if I travel to a different country while enrolled in OMSCS courses?,"We are not sure if there is a way to prevent this from happening, but we strongly recommend that you contact the
Technology Services Organization (TSO) for assistance if you encounter this. You also may need to contact the
Office of Information Technology (OIT).",,"No, your accounts will not be disabled if you travel to a different country while enrolled in OMSCS courses. Individual courses may have additional requirements, but the technical requirements listed on the webpage are common across all OMSCS courses. Courses with proctored exams may require using Google Chrome to take the exam.",0.0,1.75
"How can I determine if there is a system outage, as well as stay informed of scheduled downtime for network maintenance?","
Please visit https://support.cc.gatech.edu/alerts to stay up-to-date about system outages and scheduled
maintenance that occurs within the College of Computing. This webpage also links to other helpful resources
available on OIT’s website, including https://status.gatech.edu/.",,"You can determine if there is a system outage and stay informed of scheduled downtime for network maintenance by visiting https://support.cc.gatech.edu/alerts. This webpage also links to other helpful resources available on OIT's website, including https://status.gatech.edu/.",0.0,1.28
Are OMSCS students eligible to earn credit for internships?,"The Graduate Internship Program is often used by graduate students as a means to maintain full-time student
status while interning throughout the year. Since OMSCS students can only be enrolled as part-time students,
Click here to return to Table of Contents
11


there is no added benefit to enrolling in the Graduate Internship Program. OMSCS students are welcome to
pursue internship experiences should their schedules allow for it.",,"No, OMSCS students are not eligible to earn credit for internships due to being part-time students only.",0.0,0.8
What career resources are available to me as an OMSCS student?,"OMSCS students can receive career support from multiple sources. First, OMSCS students have access to
career services specifically for assistance with job searching, interviewing, networking, career planning, and
professional development. Please visit https://omscs.gatech.edu/career to learn more. If you sign up for the
omscs-announce mailing list, you will receive regular communications from the Office of Outreach, Enrollment,
and Community (OEC) for the College of Computing, including opportunities to participate in professional
development workshops and webinars.
Also, please be sure to check out our job platform, Handshake (you will be required to log in using your GT
credentials). Here, OMSCS students can see current industry job and internship opportunities, register and
attend College of Computing events, network with students across the nation, and request appointments with a
Career Advisor. Newly-matriculated students may not be able to access Handshake until a couple of weeks after
the semester begins.
Career coaching can be provided by reaching out to the Educational Outreach Manager, Troy Peace
(tpeace@cc.gatech.edu). We also recommend that you contact your undergraduate and/or former graduate
school for alumni services.
Finally, OMSCS students have access to services for graduate students offered by the Career Center at Georgia
Tech. The Career Center offers workshops on many of the topics listed above, a job board that lists internships
and full-time jobs, and career fairs. The platform that is used within the Career Center is CareerBuzz, where you
can explore all of the services and events that are offered by the Career Center. All OMSCS students are granted
access to the platform once they formally enroll in classes.",,"OMSCS students have access to career services through the Office of Outreach, Enrollment, and Community (OEC) for career planning, job searching, interviewing, networking, and professional development. They can also utilize the Career Center at Georgia Tech, which offers workshops, a job board, and career fairs. Additionally, OMSCS students are granted access to Handshake, a platform where they can find current industry job and internship opportunities, register for events, network with peers, and request appointments with a Career Advisor.",0.0,2.32
Can OMSCS students participate in the on-campus and virtual Georgia Tech career fairs?,"OMSCS students are eligible to participate in the on-campus and virtual College of Computing career fairs and
the Georgia Tech Career Center. Please note that BuzzCards are required for the on-campus career fairs.",,"Here is the answer to the question:

OMSCS students are eligible to participate in both on-campus and virtual career fairs at Georgia Tech, including those hosted by the College of Computing and the Career Center. Additionally, they have access to services such as workshops, a job board, and CareerBuzz, where they can explore events and services offered by the Career Center.",0.0,1.74
How do I find out more information about the Vertically Integrated Projects (VIP) program?,"OMSCS students who are interested in participating in the Vertically Integrated Projects (VIP) program should
contact that department directly. Their contact information can be found on their website. If you receive approval
from their program to participate, please keep the following in mind:
●
The courses can only be counted toward your MSCS degree as “free” elective credit. You may not count
these courses to fulfill any specialization requirements.
●
Since the course in which you would enroll has the “VIP” prefix, this will count toward the six-hour
maximum of non-CS/CSE and/or 4000-level courses that MSCS students can apply toward their degree.
●
The credit you earn for the VIP program does not count as a foundational course for the OMSCS
program. Therefore, you are still required to fulfill your foundational requirement by your designated
deadline, if you have not done so already.
●
If you have any additional questions regarding the VIP program, please contact their office directly, as the
OMSCS advisors are unable to provide specific information regarding that program or its requirements.",,"Contact the department directly, as their contact information can be found on their website. They will provide you with more information about the program and answer any questions you may have. You can also reach out to their office for specific inquiries.",0.0,1.33
Is the OMSCS program accredited?,"Georgia Tech’s undergraduate programs are ABET (Accreditation Board for Engineering and Technology)
accredited. Georgia Tech’s graduate programs are regionally accredited by the Southern Association of Colleges
and Schools Commission on Colleges (SACS).",,"The OMSCS program is not accredited, as it's implied that ABET and SACS accreditation only applies to undergraduate and graduate programs respectively.",0.0,0.82
How can I obtain an enrollment verification?,"Please visit this webpage for more information on how to request an enrollment verification, and please contact
the Registrar’s Office directly with any questions.
Click here to return to Table of Contents
12",,"To obtain an enrollment verification, please visit the webpage for more information on how to request one and contact the Registrar's Office directly with any questions.",0.0,0.82
How do I get support for the various systems I will use as an OMSCS student?,"During your coursework in the OMSCS program, you will interact with a number of different third-party vendors
who supply specific functions. You may encounter issues that only the third-party support staff can resolve. In the
event that you encounter technological issues with a third-party vendor, please pursue support using the channel
lists below.
Please note that any interaction you have with the support staff of a third-party vendor is considered part of your
conduct as a Georgia Tech student and is thus subject to rules regarding Student Conduct. Any abusive
language, misrepresentation of your identity, or other instances of misconduct may be referred to the Office of
Student Integrity for investigation and possible sanctions.
●
Canvas
○
For student support with Canvas, log into Canvas, then click the question mark icon at the bottom
left. Then, either call the Canvas Support Hotline or Chat with Canvas Support for students.
○
If you are unable to log into Canvas, contact canvas@gatech.edu.
●
Honorlock
○
If you have difficulty with Honorlock, open Honorlock in Canvas, then click the “Need help?”
button in the top right or the chat icon in the bottom right to chat with Honorlock support.
●
Piazza
○
If you have difficulty with Piazza, visit support.piazza.com.
●
Gradescope
○
If you have difficulty with Gradescope, log in, click “Account” in the bottom left, and click “Help”.
Deferring Admission",,"As an OMSCS student, you can get support for various systems through multiple channels. You can reach out to third-party vendor support staff directly when encountering technical issues. Additionally, you have access to career services, including job searching assistance and professional development resources, both within the OMSCS program and through Georgia Tech's Career Center.",0.0,1.5
"If I am not able to attend during the term I was admitted, what are my options?","It may be possible to defer your admission if you do not matriculate into the OMSCS program. Applications are
good for one year from the term for which you applied originally. For example, if you originally applied for the
Spring 2024 term, and you did not enroll in any classes/matriculate, it may be possible to request a deferral for the
Fall 2024 OR Spring 2025 term. If you want to matriculate after Spring 2025, you would need to reapply to the
OMSCS program.
Please note that deferral requests can be processed only for the fall and spring semesters.
Also, per the new Office of Graduate Education policy, an admitted applicant may only defer their
admission one time during the one-year timeframe that an application is valid.
In order to request to defer your admission, please send an email to oms-advising@cc.gatech.edu from the
personal email address listed on your application. In the subject line, please include the phrase “Deferral
Request”, your full name, and your nine-digit gtID number (90XXXXXXX), replacing the first two digits with “xx”.
In your email, please include your original application term and the term to which you would like to defer your
admission.
○
If you would like to defer to the Fall 2024 semester, please send your deferral request after February 1, 2024
but before May 1, 2024 ○ If you would like to defer to the Spring 2025 semester, please send your deferral request after September 1,
2024 but before October 1, 2024
**It is best to submit your deferral request earlier rather than later during the designated time frame to allow enough time for processing both within the College of Computing and the Office of Graduate
Education.**
For students who are required to complete an English proficiency exam, please note that those scores are only
valid for two years from the date taken. For more information regarding English proficiency scores, please visit
the Office of Graduate Education’s website.
Click here to return to Table of Contents
13",,"If you are unable to attend during the term you were admitted, your options include deferring admission to the next term or choosing an alternative solution, such as taking a different course or exploring other academic opportunities. However, if you're considering deferral only because of a specific course being full, it's not recommended as you'll likely face the same situation in the next term. Instead, explore other registration options or consult with academic advisors to find a suitable solution.",0.0,2.0
What does it mean to matriculate into the OMSCS program?,"When students register for a course(s) during their first semester in the program and remain enrolled after the
Phase II registration period has ended, they will have a record of enrollment for the semester and will be
considered a matriculated (current) student. This is true even if a student later decides to withdraw from a course
by the semester’s deadline, as the “W” on the transcript will still count as a record of enrollment for the semester.
Students are not considered matriculated (current) students if they register for a course(s) during their first
semester in the program but then drop their schedule before the Phase II registration period has ended.",,"To matriculate into the OMSCS program means to register and remain enrolled after Phase II registration has ended, making you a current student who does not need to request deferral of admission. If you do not matriculate, it may be possible to defer your admission for one year from the original application term, but you would need to reapply after that period.",0.0,1.68
How do I know if I need to submit a deferral request?,"Please note the following when determining whether a deferral request needs to be submitted:
●
If a student registers and remains enrolled after Phase II registration has ended, they are considered a
matriculated (current) OMSCS student and do not need to request to defer their admission, even if they
withdraw from a course in their first semester.
●
If a student registers but drops their schedule before Phase II registration has ended, they are not
considered a matriculated (current) OMSCS student and must submit a request to defer their admission
within the designated time frame, as long as they meet the eligibility requirements. Please review the
previous FAQs for more details.
○
Note: If your schedule is cancelled for nonpayment, you will NOT have a record of enrollment for
the semester. Therefore, if this is your first semester in the OMSCS program, you will need to
defer your admission, if you are eligible to do so.",,"You don't need to submit a deferral request if you're planning to defer your admission. Simply do not register for courses that term and follow up with our office to request a deferral later. You can only defer to Fall 2024 or Spring 2025, depending on your original application term.",0.0,1.47
"If I am planning to defer my admission, what do I need to do?","If you are planning to defer your admission, there is nothing you need to do except not register for courses that
term. You simply will need to follow up with our office to request a deferral during the time frame noted above. As
a reminder, it is best to submit your deferral request earlier rather than later during the designated time frame to
allow enough time for processing both within the College of Computing and the Office of Graduate Education.
Please keep in mind that registering for and later withdrawing from a course (which results in a “W” on your
transcript) means you are no longer eligible to defer your admission, as you are considered a matriculated
(current) student.",,"You simply will need to follow up with our office to request a deferral during the time frame noted above, except not registering for courses that term.",0.0,0.92
How many times am I permitted to defer my admission?,"As per the new Office of Graduate Education policy, an admitted applicant may only defer their admission one
time during the one-year timeframe that an application is valid.
To clarify further, if your original application term is Spring 2024, you can defer to Fall 2024 or to Spring 2025 –
you may not defer to Fall 2024 and then later request to defer to Spring 2025. If you deferred to Fall 2024 or Spring 2025 and did not matriculate, you would be required to submit a new application and be offered admission
again to be permitted to matriculate as an OMSCS student.",,You are permitted to defer your admission once during the one-year timeframe that an application is valid. Deferral requests can only be processed for the fall and spring semesters.,0.0,0.93
Why do I need to submit my deferral request after registration has ended and the semester has started?,"Due to the number of admitted students the College of Computing and the Office of Graduate Education are
supporting at the start of the semester during Phase II registration, deferral requests are not processed until after
the registration period has ended and the semester has started. Additionally, there have been times when
admitted students request for their admission to be deferred, and then their circumstances change, and they
decide that they do want to enroll for their original admit term. Therefore, the College of Computing and the Office
of Graduate Education do not start processing deferral requests until the time frames noted above.",,"You need to submit your deferral request after registration has ended and the semester has started because admitted students' requests are not processed during Phase II registration, which is when most students register for courses. Deferral requests are only considered once the registration period has concluded. This ensures that the College of Computing and Office of Graduate Education can manage the large number of admitted students effectively.",0.0,1.64
"I am scheduled to matriculate this semester, but I cannot enroll for the course I want because the course is full. Can I defer my admission to the next term so that I can enroll in the specific course I want?","
If you are considering deferring your admission only because you cannot enroll in the specific course(s) you wish
to take, we strongly do not recommend pursuing the deferral, as you will be in the same situation the next term
since new students do not register until Phase II.",,"You cannot defer your admission solely because of course availability issues. However, if you are unable to attend during the original term, you may be able to request a deferral for a future term within one year from your original application term. If you do not intend to enroll until after that period, you would need to reapply to the program.",0.0,1.73
"If I defer my admission, when does my one-year time frame start for my foundational requirement?","If you do not matriculate, and you defer your admission to a future term, then your foundational requirement time
frame would start with your new matriculation term. For example, if you were admitted for Spring 2024 but did not
matriculate until Fall 2024, you would have the Fall 2024, Spring 2025, and Summer 2025 terms to fulfill the
Click here to return to Table of Contents
14


foundational requirement.
However, please remember that if you matriculate into the program, your foundational requirement time frame
would begin, even if you withdraw from a course that term (since a “W” counts as a record of enrollment). For
example, if you matriculated into the program as of Spring 2024 and later withdrew, that term (Spring 2024) still
would count toward your foundational requirement time frame.",,"If you defer your admission, your one-year time frame starts with your new matriculation term. For example, if you were admitted for Spring 2024 but did not matriculate until Fall 2024, your one-year time frame would start in Fall 2024. Your foundational requirement can be completed within the following terms.",0.0,1.55
"I deferred my admission (or I am planning to defer my admission) and received a message indicating that my accounts are being inactivated. Can they remain active even though I am not a currently-enrolled
student since I plan to enroll in a future term?","If you are not enrolled and are not classified as a student who is eligible to enroll, your student-related services
will be discontinued. It is our understanding that OIT will not extend these student-related services until you are
eligible to enroll. For example, if you were admitted for Spring 2024 but deferred your admission to Fall 2024, you
would not have access to your accounts during the Spring 2024 semester but would regain access as the Fall
2024 semester approached.",,"Based on the provided context, it seems that student-related services will be discontinued if you are not enrolled and are not classified as a student eligible to enroll. Since your accounts are being inactivated due to deferral of admission, they may not remain active until you plan to enroll in a future term.",0.0,1.43
"I submitted a deferral request, but now I am being informed that I will be losing access to my GT accounts, including email. How will you communicate with me?","
As noted previously, if you are not enrolled and are not classified as a student who is eligible to enroll, your
student-related services will be discontinued. Therefore, we will communicate with you using the personal email
account you listed on your application. Additionally, you may submit your deferral request from this personal
email account – your request does not need to be submitted from your GT email account.",,"You will receive communication from the university at the personal email address listed on your application, as your student-related services will be discontinued. You can also submit your deferral request from this personal email account. Please use the provided email address and instructions for submitting your request.",0.0,1.33
Why am I still receiving registration-related emails if I am deferring my admission?,"Since deferral requests are not processed until after the semester starts, you most likely will continue to receive
registration-related emails as an admitted student for the term. If you wish to be removed from that semester’s
new-student mailing list, please send a message to oms-advising@cc.gatech.edu. Please include your full name
and your nine-digit gtID number (90XXXXXXX), replacing the first two digits with “xx”.
Degree Requirements",,"You may still receive registration-related emails because your accounts are not automatically inactivated upon deferring your admission. Instead, the system continues to maintain your account until the end of the registration period or until a new application is submitted and admission is re-offered. This allows you to potentially enroll in a future term if your circumstances change.",0.0,1.54
What are the degree requirements for the OMSCS program?,"The OMSCS degree requires 30 hours (10 courses). Students must declare one specialization, which, depending
on the specialization, is 15-18 hours (5-6 courses). The remaining 12-15 hours (4-5 courses) are “free” electives
and can be any courses offered through the OMSCS program. You can review the degree requirements online.
The requirements for each specialization can be found online as well. Please note that courses listed in bold
have been produced for the OMSCS program.
To be able to continue in the program after the first 12 months from your date of matriculation, you must complete
the foundational requirement of two foundational courses with a grade of “B” or better. You may choose a
foundational course that counts towards any area of your degree, whether a specialization requirement or a ""free""
elective. The courses that constitute “foundational courses” are designated with an asterisk (*) on the current
courses page of our website.",,"The degree requirements for the OMSCS program involve completing 30 hours, which is equivalent to 10 courses. This includes declaring one specialization, which takes up 15-18 hours, and the remaining 12-15 hours are ""free"" electives that can be any courses offered through the program.",0.0,1.74
"By when do I need to declare my specialization, and how can I do so? Can I change my specialization once I declare it?","
We strongly recommend that you declare your specialization after your first two semesters in the program or as
soon as you have an idea as to which specialization you plan to pursue. Your specialization needs to be declared
by the time you apply to graduate. Please note that you are not “locked in” once you declare your specialization.
You may change your specialization any time that does not conflict with an active period of registration.
To declare your specialization, please follow these instructions:
●
Go to https://oscar.gatech.edu/.
●
Sign in using your GT credentials via the “Secure Access Login” link.
Click here to return to Table of Contents
15


●
Click on the “Students” tab.
●
Scroll down and select “Change Your Concentration”. Listed on this screen will be your current program
of study, effective for a future term. Beside each program of study is a button that allows you to select the
program for which you would like to add, update, or remove a specialization/concentration.
●
Once selected, click the “Select Program” button to proceed.
●
The next screen will list the program of study that was selected from the previous screen with an
additional line labeled, “Major Concentration”. Next to this will be a drop-down box that will list all the
concentrations (specializations) that are available for that specific program of study and term. Select your
desired concentration (specialization) and click “Submit Changes”.
●
To remove a concentration (specialization) that previously has been attached to the program of study,
select “None” from the drop-down list and click “Submit Changes”.
●
The next screen will show a confirmation of the changes that were made.
●
Click “Done”, and you will return to the main screen displaying your current program of study.
●
Once you arrive back at the main screen, review the changes you have made and ensure you have
added/removed/modified the appropriate concentration (specialization) for all current and future terms.
**Please note that if you are receiving GI Bill benefits, the Department of Veteran Affairs (DVA) regulates that only
degree-applicable courses for your major are allowed to be certified for tuition and fee funding. This particular
student population is permitted no more than two semesters to declare a specialization. By declaring your
specialization, this will allow Georgia Tech’s Veteran’s Services office to certify your courses each semester.
Please contact the Veteran's Services office directly with any questions you may have regarding this requirement.
Their contact information can be found on their website.",,"You need to declare your specialization after your first two semesters or as soon as you have an idea about which one you plan to pursue. You must declare it by the time you apply to graduate, but you can change your specialization at any time without conflicting with an active period of registration. To declare your specialization, go to oscar.gatech.edu, sign in using your GT credentials, and click on the ""Students"" tab.",0.0,1.93
Can I declare more than one specialization?,"No – students may declare only one specialization. However, you may take courses beyond your specialization
as “free” electives.",,"No, you cannot declare more than one specialization. However, you may take courses beyond your specialization as ""free"" electives. You are not limited to just one option for your remaining elective credits.",0.0,1.07
Can I use extra specialization core courses as specialization electives (and vice versa)?,"For the most part, if students take extra specialization core courses and/or extra specialization elective courses
beyond what is required in their specialization, the extra course(s) can be used only towards the ""free"" electives.
In other words, specialization core courses cannot be used towards the specialization elective requirements and
vice versa (specialization elective courses cannot be used towards the specialization core requirements).
The only exception is for students pursuing the Computing Systems specialization. Please visit the
specialization’s webpage for more information regarding what can be accepted.",,"No, you cannot use extra specialization core courses as specialization electives (and vice versa). The extra course(s) can only be used towards the ""free"" electives.",0.0,0.99
Am I allowed to make substitutions within the OMSCS degree requirements?,"The official College policy is that substitutions for specialization coursework are made only when necessary when
specialization courses are not available. Since all five of the specializations offered through the OMSCS program
can be completed without substitutions, no substitutions will be approved.",,You are allowed to make substitutions within the OMSCS degree requirements only for students pursuing the Computing Systems specialization.,0.0,0.77
Am I allowed to audit a course or take it on the pass/fail grading basis?,"Students are permitted to earn only a letter grade in all OMSCS courses. Students may not audit an OMSCS
course or take it on the pass/fail grading basis.
The only exception is the CS 8001 one-hour seminars. As a reminder, these seminars are graded on the pass/fail
grading basis and will NOT count toward your graduation requirements.",,You are allowed to audit a course but not take it on the pass/fail grading basis.,0.0,0.66
How long do I have to complete the program and earn my degree?,Students must complete the OMSCS degree in six years as per the Institute’s policy.,,"You must complete your degree requirements within six years from your matriculation date, as per the Institute's policy.",0.0,0.76
