category,qns_no,qns,ans
Institute Services & Course-Related Resources,4,"What if I have a personal or family emergency and need an extension on an assignment or exam, or I need to withdraw from a class or from school after the deadline due to an extenuating circumstance?","
The worst thing you can do is not tell anyone! Your first point of contact should be your TA and/or professor if
something has come up with work, family, etc. If your TA and/or professor would like you to go through the Dean
of Students office, their website is: https://studentlife.gatech.edu/. Specifically, we encourage you to visit
https://studentlife.gatech.edu/request-assistance."
Institute Services & Course-Related Resources,5,What mental health resources are available to me as an online graduate student at Georgia Tech?,"Your mental health is important, and we want all OMSCS students to access local resources wherever they live,
as well as utilize the online information available to the full GT community. The Georgia Tech Dean of Students
Click here to return to Table of Contents
10


Office can assist with academic and other concerns. A source for excellent online mental health and well-being
information can be found at https://gtwellnesshub.com/.
Additionally, please note the following resources:
●
JED Foundation
●
Trevor Lifeline (supports LGBTQIA youth): 866-488-7386
●
Crisis Chat Line (a 24/7 text-based crisis service)
●
National Suicide Prevention Lifeline: 988
●
GT students can access self-help resources, including apps and podcasts, online. Please note that
students must have a valid @gatech.edu email address."
Institute Services & Course-Related Resources,6,I am interested in becoming a TA. Is this possible?,"Each semester, an email is sent to the omscs-official@cc.gatech.edu account notifying students of how to apply to
become a TA for a future semester. Please be sure to monitor your email for this information."
Institute Services & Course-Related Resources,7,What if I have an issue with/complaint about an assignment/exam or my instructor/TA?,"Unfortunately, OMSCS Advising cannot get involved in the classroom management of OMSCS courses. If you
need to request an extension due to health, family, or other unforeseen issues, please consult your class’ syllabus
for directions and/or contact the Dean of Students office using the Request Assistance form, available on their
website.
If you have a dispute with your grade, you should first contact your instructor. As per the academic catalog, any
final grade dispute must be resolved by the end of your next enrolled term. Any student with a grade dispute that
cannot be resolved after contacting the instructor should open a ticket at oms-advising@cc.gatech.edu with the
subject line ""Grade Dispute – Your Name"". Please send this message from your GT email account and attach
any correspondence with the instructor that you have had regarding the issue when you open that ticket.
If you would like to share feedback about a class that is not specifically related to your grade, please contact the
Associate Director for Student Experience, Alex Duncan (alex.duncan@gatech.edu)."
Institute Services & Course-Related Resources,8,What if I have an issue with/complaint against a fellow student in the program?,"Student behavior while enrolled in the OMSCS program is governed by the Georgia Tech Student Code of
Conduct. This policy applies to all official interaction on program platforms and also to a certain extent where
students interact with each other in program-oriented communities that are not officially administered by the
Institute. If you believe a violation of the Student Code of Conduct has occurred, you may seek assistance from
the Dean of Students office by clicking “Request Assistance” on their website."
Institute Services & Course-Related Resources,9,What are the technical requirements for the OMSCS program?,"Please visit this webpage to learn more about the minimum technical requirements for the OMSCS program.
Please note that individual courses may have additional requirements, but the ones listed on the webpage are
common across all OMSCS courses. Also, please note that courses with proctored exams may require you to
use Google Chrome to take the exam."
Institute Services & Course-Related Resources,10,Will my accounts be disabled if I travel to a different country while enrolled in OMSCS courses?,"We are not sure if there is a way to prevent this from happening, but we strongly recommend that you contact the
Technology Services Organization (TSO) for assistance if you encounter this. You also may need to contact the
Office of Information Technology (OIT)."
Institute Services & Course-Related Resources,11,"How can I determine if there is a system outage, as well as stay informed of scheduled downtime for network maintenance?","
Please visit https://support.cc.gatech.edu/alerts to stay up-to-date about system outages and scheduled
maintenance that occurs within the College of Computing. This webpage also links to other helpful resources
available on OIT’s website, including https://status.gatech.edu/."
Institute Services & Course-Related Resources,12,Are OMSCS students eligible to earn credit for internships?,"The Graduate Internship Program is often used by graduate students as a means to maintain full-time student
status while interning throughout the year. Since OMSCS students can only be enrolled as part-time students,
Click here to return to Table of Contents
11


there is no added benefit to enrolling in the Graduate Internship Program. OMSCS students are welcome to
pursue internship experiences should their schedules allow for it."
Institute Services & Course-Related Resources,13,What career resources are available to me as an OMSCS student?,"OMSCS students can receive career support from multiple sources. First, OMSCS students have access to
career services specifically for assistance with job searching, interviewing, networking, career planning, and
professional development. Please visit https://omscs.gatech.edu/career to learn more. If you sign up for the
omscs-announce mailing list, you will receive regular communications from the Office of Outreach, Enrollment,
and Community (OEC) for the College of Computing, including opportunities to participate in professional
development workshops and webinars.
Also, please be sure to check out our job platform, Handshake (you will be required to log in using your GT
credentials). Here, OMSCS students can see current industry job and internship opportunities, register and
attend College of Computing events, network with students across the nation, and request appointments with a
Career Advisor. Newly-matriculated students may not be able to access Handshake until a couple of weeks after
the semester begins.
Career coaching can be provided by reaching out to the Educational Outreach Manager, Troy Peace
(tpeace@cc.gatech.edu). We also recommend that you contact your undergraduate and/or former graduate
school for alumni services.
Finally, OMSCS students have access to services for graduate students offered by the Career Center at Georgia
Tech. The Career Center offers workshops on many of the topics listed above, a job board that lists internships
and full-time jobs, and career fairs. The platform that is used within the Career Center is CareerBuzz, where you
can explore all of the services and events that are offered by the Career Center. All OMSCS students are granted
access to the platform once they formally enroll in classes."
Institute Services & Course-Related Resources,14,Can OMSCS students participate in the on-campus and virtual Georgia Tech career fairs?,"OMSCS students are eligible to participate in the on-campus and virtual College of Computing career fairs and
the Georgia Tech Career Center. Please note that BuzzCards are required for the on-campus career fairs."
Institute Services & Course-Related Resources,15,How do I find out more information about the Vertically Integrated Projects (VIP) program?,"OMSCS students who are interested in participating in the Vertically Integrated Projects (VIP) program should
contact that department directly. Their contact information can be found on their website. If you receive approval
from their program to participate, please keep the following in mind:
●
The courses can only be counted toward your MSCS degree as “free” elective credit. You may not count
these courses to fulfill any specialization requirements.
●
Since the course in which you would enroll has the “VIP” prefix, this will count toward the six-hour
maximum of non-CS/CSE and/or 4000-level courses that MSCS students can apply toward their degree.
●
The credit you earn for the VIP program does not count as a foundational course for the OMSCS
program. Therefore, you are still required to fulfill your foundational requirement by your designated
deadline, if you have not done so already.
●
If you have any additional questions regarding the VIP program, please contact their office directly, as the
OMSCS advisors are unable to provide specific information regarding that program or its requirements."
Institute Services & Course-Related Resources,16,Is the OMSCS program accredited?,"Georgia Tech’s undergraduate programs are ABET (Accreditation Board for Engineering and Technology)
accredited. Georgia Tech’s graduate programs are regionally accredited by the Southern Association of Colleges
and Schools Commission on Colleges (SACS)."
Institute Services & Course-Related Resources,17,How can I obtain an enrollment verification?,"Please visit this webpage for more information on how to request an enrollment verification, and please contact
the Registrar’s Office directly with any questions.
Click here to return to Table of Contents
12"
Institute Services & Course-Related Resources,18,How do I get support for the various systems I will use as an OMSCS student?,"During your coursework in the OMSCS program, you will interact with a number of different third-party vendors
who supply specific functions. You may encounter issues that only the third-party support staff can resolve. In the
event that you encounter technological issues with a third-party vendor, please pursue support using the channel
lists below.
Please note that any interaction you have with the support staff of a third-party vendor is considered part of your
conduct as a Georgia Tech student and is thus subject to rules regarding Student Conduct. Any abusive
language, misrepresentation of your identity, or other instances of misconduct may be referred to the Office of
Student Integrity for investigation and possible sanctions.
●
Canvas
○
For student support with Canvas, log into Canvas, then click the question mark icon at the bottom
left. Then, either call the Canvas Support Hotline or Chat with Canvas Support for students.
○
If you are unable to log into Canvas, contact canvas@gatech.edu.
●
Honorlock
○
If you have difficulty with Honorlock, open Honorlock in Canvas, then click the “Need help?”
button in the top right or the chat icon in the bottom right to chat with Honorlock support.
●
Piazza
○
If you have difficulty with Piazza, visit support.piazza.com.
●
Gradescope
○
If you have difficulty with Gradescope, log in, click “Account” in the bottom left, and click “Help”.
Deferring Admission"
Deferring Admission,1,"If I am not able to attend during the term I was admitted, what are my options?","It may be possible to defer your admission if you do not matriculate into the OMSCS program. Applications are
good for one year from the term for which you applied originally. For example, if you originally applied for the
Spring 2024 term, and you did not enroll in any classes/matriculate, it may be possible to request a deferral for the
Fall 2024 OR Spring 2025 term. If you want to matriculate after Spring 2025, you would need to reapply to the
OMSCS program.
Please note that deferral requests can be processed only for the fall and spring semesters.
Also, per the new Office of Graduate Education policy, an admitted applicant may only defer their
admission one time during the one-year timeframe that an application is valid.
In order to request to defer your admission, please send an email to oms-advising@cc.gatech.edu from the
personal email address listed on your application. In the subject line, please include the phrase “Deferral
Request”, your full name, and your nine-digit gtID number (90XXXXXXX), replacing the first two digits with “xx”.
In your email, please include your original application term and the term to which you would like to defer your
admission.
○
If you would like to defer to the Fall 2024 semester, please send your deferral request after February 1, 2024
but before May 1, 2024 ○ If you would like to defer to the Spring 2025 semester, please send your deferral request after September 1,
2024 but before October 1, 2024
**It is best to submit your deferral request earlier rather than later during the designated time frame to allow enough time for processing both within the College of Computing and the Office of Graduate
Education.**
For students who are required to complete an English proficiency exam, please note that those scores are only
valid for two years from the date taken. For more information regarding English proficiency scores, please visit
the Office of Graduate Education’s website.
Click here to return to Table of Contents
13"
Deferring Admission,2,What does it mean to matriculate into the OMSCS program?,"When students register for a course(s) during their first semester in the program and remain enrolled after the
Phase II registration period has ended, they will have a record of enrollment for the semester and will be
considered a matriculated (current) student. This is true even if a student later decides to withdraw from a course
by the semester’s deadline, as the “W” on the transcript will still count as a record of enrollment for the semester.
Students are not considered matriculated (current) students if they register for a course(s) during their first
semester in the program but then drop their schedule before the Phase II registration period has ended."
Deferring Admission,3,How do I know if I need to submit a deferral request?,"Please note the following when determining whether a deferral request needs to be submitted:
●
If a student registers and remains enrolled after Phase II registration has ended, they are considered a
matriculated (current) OMSCS student and do not need to request to defer their admission, even if they
withdraw from a course in their first semester.
●
If a student registers but drops their schedule before Phase II registration has ended, they are not
considered a matriculated (current) OMSCS student and must submit a request to defer their admission
within the designated time frame, as long as they meet the eligibility requirements. Please review the
previous FAQs for more details.
○
Note: If your schedule is cancelled for nonpayment, you will NOT have a record of enrollment for
the semester. Therefore, if this is your first semester in the OMSCS program, you will need to
defer your admission, if you are eligible to do so."
Deferring Admission,4,"If I am planning to defer my admission, what do I need to do?","If you are planning to defer your admission, there is nothing you need to do except not register for courses that
term. You simply will need to follow up with our office to request a deferral during the time frame noted above. As
a reminder, it is best to submit your deferral request earlier rather than later during the designated time frame to
allow enough time for processing both within the College of Computing and the Office of Graduate Education.
Please keep in mind that registering for and later withdrawing from a course (which results in a “W” on your
transcript) means you are no longer eligible to defer your admission, as you are considered a matriculated
(current) student."
Deferring Admission,5,How many times am I permitted to defer my admission?,"As per the new Office of Graduate Education policy, an admitted applicant may only defer their admission one
time during the one-year timeframe that an application is valid.
To clarify further, if your original application term is Spring 2024, you can defer to Fall 2024 or to Spring 2025 –
you may not defer to Fall 2024 and then later request to defer to Spring 2025. If you deferred to Fall 2024 or Spring 2025 and did not matriculate, you would be required to submit a new application and be offered admission
again to be permitted to matriculate as an OMSCS student."
Deferring Admission,6,Why do I need to submit my deferral request after registration has ended and the semester has started?,"Due to the number of admitted students the College of Computing and the Office of Graduate Education are
supporting at the start of the semester during Phase II registration, deferral requests are not processed until after
the registration period has ended and the semester has started. Additionally, there have been times when
admitted students request for their admission to be deferred, and then their circumstances change, and they
decide that they do want to enroll for their original admit term. Therefore, the College of Computing and the Office
of Graduate Education do not start processing deferral requests until the time frames noted above."
Deferring Admission,7,"I am scheduled to matriculate this semester, but I cannot enroll for the course I want because the course is full. Can I defer my admission to the next term so that I can enroll in the specific course I want?","
If you are considering deferring your admission only because you cannot enroll in the specific course(s) you wish
to take, we strongly do not recommend pursuing the deferral, as you will be in the same situation the next term
since new students do not register until Phase II."
Deferring Admission,8,"If I defer my admission, when does my one-year time frame start for my foundational requirement?","If you do not matriculate, and you defer your admission to a future term, then your foundational requirement time
frame would start with your new matriculation term. For example, if you were admitted for Spring 2024 but did not
matriculate until Fall 2024, you would have the Fall 2024, Spring 2025, and Summer 2025 terms to fulfill the
Click here to return to Table of Contents
14


foundational requirement.
However, please remember that if you matriculate into the program, your foundational requirement time frame
would begin, even if you withdraw from a course that term (since a “W” counts as a record of enrollment). For
example, if you matriculated into the program as of Spring 2024 and later withdrew, that term (Spring 2024) still
would count toward your foundational requirement time frame."
Deferring Admission,9,"I deferred my admission (or I am planning to defer my admission) and received a message indicating that my accounts are being inactivated. Can they remain active even though I am not a currently-enrolled
student since I plan to enroll in a future term?","If you are not enrolled and are not classified as a student who is eligible to enroll, your student-related services
will be discontinued. It is our understanding that OIT will not extend these student-related services until you are
eligible to enroll. For example, if you were admitted for Spring 2024 but deferred your admission to Fall 2024, you
would not have access to your accounts during the Spring 2024 semester but would regain access as the Fall
2024 semester approached."
Deferring Admission,10,"I submitted a deferral request, but now I am being informed that I will be losing access to my GT accounts, including email. How will you communicate with me?","
As noted previously, if you are not enrolled and are not classified as a student who is eligible to enroll, your
student-related services will be discontinued. Therefore, we will communicate with you using the personal email
account you listed on your application. Additionally, you may submit your deferral request from this personal
email account – your request does not need to be submitted from your GT email account."
Deferring Admission,11,Why am I still receiving registration-related emails if I am deferring my admission?,"Since deferral requests are not processed until after the semester starts, you most likely will continue to receive
registration-related emails as an admitted student for the term. If you wish to be removed from that semester’s
new-student mailing list, please send a message to oms-advising@cc.gatech.edu. Please include your full name
and your nine-digit gtID number (90XXXXXXX), replacing the first two digits with “xx”.
Degree Requirements"
Degree Requirements,1,What are the degree requirements for the OMSCS program?,"The OMSCS degree requires 30 hours (10 courses). Students must declare one specialization, which, depending
on the specialization, is 15-18 hours (5-6 courses). The remaining 12-15 hours (4-5 courses) are “free” electives
and can be any courses offered through the OMSCS program. You can review the degree requirements online.
The requirements for each specialization can be found online as well. Please note that courses listed in bold
have been produced for the OMSCS program.
To be able to continue in the program after the first 12 months from your date of matriculation, you must complete
the foundational requirement of two foundational courses with a grade of “B” or better. You may choose a
foundational course that counts towards any area of your degree, whether a specialization requirement or a ""free""
elective. The courses that constitute “foundational courses” are designated with an asterisk (*) on the current
courses page of our website."
Degree Requirements,2,"By when do I need to declare my specialization, and how can I do so? Can I change my specialization once I declare it?","
We strongly recommend that you declare your specialization after your first two semesters in the program or as
soon as you have an idea as to which specialization you plan to pursue. Your specialization needs to be declared
by the time you apply to graduate. Please note that you are not “locked in” once you declare your specialization.
You may change your specialization any time that does not conflict with an active period of registration.
To declare your specialization, please follow these instructions:
●
Go to https://oscar.gatech.edu/.
●
Sign in using your GT credentials via the “Secure Access Login” link.
Click here to return to Table of Contents
15


●
Click on the “Students” tab.
●
Scroll down and select “Change Your Concentration”. Listed on this screen will be your current program
of study, effective for a future term. Beside each program of study is a button that allows you to select the
program for which you would like to add, update, or remove a specialization/concentration.
●
Once selected, click the “Select Program” button to proceed.
●
The next screen will list the program of study that was selected from the previous screen with an
additional line labeled, “Major Concentration”. Next to this will be a drop-down box that will list all the
concentrations (specializations) that are available for that specific program of study and term. Select your
desired concentration (specialization) and click “Submit Changes”.
●
To remove a concentration (specialization) that previously has been attached to the program of study,
select “None” from the drop-down list and click “Submit Changes”.
●
The next screen will show a confirmation of the changes that were made.
●
Click “Done”, and you will return to the main screen displaying your current program of study.
●
Once you arrive back at the main screen, review the changes you have made and ensure you have
added/removed/modified the appropriate concentration (specialization) for all current and future terms.
**Please note that if you are receiving GI Bill benefits, the Department of Veteran Affairs (DVA) regulates that only
degree-applicable courses for your major are allowed to be certified for tuition and fee funding. This particular
student population is permitted no more than two semesters to declare a specialization. By declaring your
specialization, this will allow Georgia Tech’s Veteran’s Services office to certify your courses each semester.
Please contact the Veteran's Services office directly with any questions you may have regarding this requirement.
Their contact information can be found on their website."
Degree Requirements,3,Can I declare more than one specialization?,"No – students may declare only one specialization. However, you may take courses beyond your specialization
as “free” electives."
Degree Requirements,4,Can I use extra specialization core courses as specialization electives (and vice versa)?,"For the most part, if students take extra specialization core courses and/or extra specialization elective courses
beyond what is required in their specialization, the extra course(s) can be used only towards the ""free"" electives.
In other words, specialization core courses cannot be used towards the specialization elective requirements and
vice versa (specialization elective courses cannot be used towards the specialization core requirements).
The only exception is for students pursuing the Computing Systems specialization. Please visit the
specialization’s webpage for more information regarding what can be accepted."
Degree Requirements,5,Am I allowed to make substitutions within the OMSCS degree requirements?,"The official College policy is that substitutions for specialization coursework are made only when necessary when
specialization courses are not available. Since all five of the specializations offered through the OMSCS program
can be completed without substitutions, no substitutions will be approved."
Degree Requirements,6,Am I allowed to audit a course or take it on the pass/fail grading basis?,"Students are permitted to earn only a letter grade in all OMSCS courses. Students may not audit an OMSCS
course or take it on the pass/fail grading basis.
The only exception is the CS 8001 one-hour seminars. As a reminder, these seminars are graded on the pass/fail
grading basis and will NOT count toward your graduation requirements."
Degree Requirements,7,How long do I have to complete the program and earn my degree?,Students must complete the OMSCS degree in six years as per the Institute’s policy.
Degree Requirements,8,What happens if I need more than six years to complete the program?,"Any coursework that is older than six years needs to be approved by the Graduate Curriculum Committee (GCC)
and the Institute Graduate Curriculum Committee (IGCC) in order to be applied to your degree. If you will be
exceeding the six-year time frame, please be sure to contact oms-advising@cc.gatech.edu the semester before
Click here to return to Table of Contents
16


you plan to graduate so that you can work with your advisor on obtaining approval to use the older coursework.
Please be sure to send your message from your GT email account and to include your full name and your
nine-digit gtID number (90XXXXXXX), replacing the first two digits with “xx”."
Degree Requirements,9,Can I count non-CS/CSE courses and/or previously-completed undergraduate-level courses toward my MSCS degree?,"
As per the program rules, a maximum of six hours may be taken at the 4000-level and/or with a subject code
other than CS or CSE. If you have any questions, especially regarding previously-completed undergraduate-level
courses, please contact your advisor by sending a message from your GT email account to
oms-advising@cc.gatech.edu. Please be sure to include your nine-digit gtID number (90XXXXXXX), replacing
the first two digits with “xx”."
Degree Requirements,10,What are the rules regarding the Satisfactory Academic Progress policy?,"Please visit https://catalog.gatech.edu/rules/6/ for information regarding the Satisfactory Academic Progress
policy.
Foundational Requirement"
Foundational Requirement,1,"My admission letter states: “All incoming students are admitted conditionally. To continue in the program after the first 12 months from your date of matriculation, you must complete the foundational
coursework requirement of 2 courses in the program with a grade of B or better.” Will I be notified when I
am fully admitted into the OMSCS program?","As stated previously, to be able to continue in the program after the first 12 months from your date of
matriculation, you must complete a foundational coursework requirement of two foundational courses with a grade
of “B” or better. The courses that constitute “foundational courses” are designated with an asterisk (*) on this
webpage.
We do not send notifications for students who have completed their foundational requirement. If you would like to
verify that you have completed your foundational requirement, please refer to the link above to determine if the
courses you have completed successfully are considered to be foundational courses."
Foundational Requirement,2,Do my foundational courses have to be a part of my intended/declared specialization?,"No — you may choose a foundational course that counts towards any area of your degree, whether a
specialization requirement or a ""free"" elective."
Foundational Requirement,3,"Can I register for non-foundational courses for a future term if I am on track to finish the foundational requirement by the end of this term (either I am enrolled in two foundational courses, or I am enrolled in
my second foundational course)?","If you are enrolled in two foundational courses or your second foundational course, you would not be eligible to
enroll in any non-foundational courses until you successfully completed the two foundational course(s) with a ""B""
or better.
To clarify, during Phase I registration, you would be restricted to enrolling only in foundational courses. If you
successfully completed the requirement by the end of the current term, the restriction would be lifted shortly after
grades had been posted, and you would have an opportunity to make adjustments to your future schedule during
Phase II."
Foundational Requirement,4,What happens if I do not meet my foundational requirement by my designated deadline?,"As of now, students have not been dismissed from the OMSCS program simply for not fulfilling the foundational
requirement. Students will need to continue enrolling in foundational courses until they have satisfied this
requirement. Our office sends an email each semester for students whose foundational requirement deadline has
passed, so please refer to these messages for any updated information regarding this policy.
Course/Program Planning"
Course/Program Planning,1,Which semesters are OMSCS courses offered?,"OMSCS courses are offered during the spring, summer, and fall semesters. However, the summer offerings are
much more limited due to the condensed time frame of the semester. Students are not required to enroll in each
term consecutively, but please make note of the readmission policy if you plan not to enroll during a specific
Click here to return to Table of Contents
17


semester(s) (please see the “Taking Time Off” section in the FAQs for more information)."
Course/Program Planning,2,"For the summer semester, are OMSCS courses offered as part of the “Early Short Summer” or “Late Short Summer” schedule?","
All OMSCS summer courses are “Full Summer” courses. Our program does not offer any “Early Short Summer”
or “Late Short Summer” courses."
Course/Program Planning,3,Are there plans to add more courses and/or specializations to the OMSCS program?,"At this time, all of the courses/specializations that will be offered with the OMSCS program are listed on our
website. The advisors unfortunately do not have any additional information other than the information that is
posted on our website."
Course/Program Planning,4,Can I take on-campus and/or Distance Learning (DL) courses as an OMSCS student?,"Unfortunately, OMSCS students are not eligible to enroll in on-campus or DL courses, as they are considered to
be a different campus and have different tuition rates/fees. Likewise, on-campus or DL students are not eligible to
enroll in OMSCS courses."
Course/Program Planning,5,Can I enroll in courses offered through the OMS Analytics and/or OMS Cybersecurity programs as an OMSCS student?,"
Sections for OMSCS students have been created for a select number of OMS Analytics and OMS Cybersecurity
courses. If a section of an OMS Analytics or OMS Cybersecurity course has been created for OMSCS students, it
will have a section of “O” followed by a two-digit number (example: O01, O02, O03, etc.). As a reminder, courses
designated with the “OAN” section are reserved for OMS Analytics students, and courses designated with the
“OCY” section are reserved for OMS Cybersecurity students. Therefore, please be sure you are selecting the
correct section if you wish to enroll in the course.
***Please remember that per the program rules:
""A maximum of six hours may be taken at the 4000-level and/or with a subject code other than CS or CSE.”***
If you have questions about the OMS Analytics program or courses offered through that program, please visit their
website. For the OMS Cybersecurity program and courses offered through that program, please visit their
website for more information."
Course/Program Planning,6,Are there prerequisites for the OMSCS program and/or courses?,"There are no official/enforced prerequisites for the OMSCS courses beyond those required for admission into the
program, so students can take these courses in essentially any order. There are certain recommendations as to
what material/information you should be familiar with prior to taking a course (available in the course descriptions
online), but there are no official prerequisites for the OMSCS courses.
In general we expect students who enter the program to be very comfortable working with multiple programming
languages such as C, Java, and Python (there is no provision within the program to make up any deficiencies)
and to have taken several more advanced topics, such as Advanced OS, Networking, Theory, and/or Algorithms.
More information about this can be found on our website.
If a student needs to take refresher courses before enrolling in OMSCS courses, it is up to the student to find out
how and where to take these kinds of courses, as OMSCS Advising cannot provide advisement for that. Again,
please refer to our website for more information."
Course/Program Planning,7,"After reading the course descriptions, it appears I am only prepared to take “X” course(s). What happens if I am not able to enroll in that specific course(s)?","
Since there are no official prerequisites for our courses (beyond those required for admission into the program),
there is an expectation that students should be prepared for essentially most, if not all, of the OMSCS courses.
Therefore, please do not contact OMSCS Advising requesting to be enrolled in a specific course based on your
qualifications, especially since the advisors are unable to add students to courses and/or wait lists.
Click here to return to Table of Contents
18"
Course/Program Planning,8,Can my advisor help me plan out all of my courses in advance?,"Unfortunately, advisors cannot register students for courses, nor can we add students to wait lists. Therefore, we
cannot guarantee that students will be able to take specific courses during specific semesters, so planning out the
exact ten courses you wish to take (and the semester you wish to take them) most likely is not possible, as
students should plan to be flexible in taking courses whenever they are available.
As a reminder, there are no official/enforced prerequisites for the OMSCS courses (beyond those required for
admission into the program), so students can take these classes in essentially any order. There are certain
recommendations as to what material/information you should be familiar with prior to taking a course, but there
are no official prerequisites for the OMSCS courses. For course-specific prerequisite information, please read the
course descriptions online. Please refer to the FAQ below (#10) for more information on how to plan for future
courses using DegreeWorks."
Course/Program Planning,9,Do I need to take courses in the order they are listed on the specialization webpages?,"No, as mentioned previously, students can take OMSCS courses in essentially any order. Students are not
required to take their specialization courses (or any courses) in a specific order."
